image,description,url,class
_art_m_master_marian_panel2.jpg,"Two panels in the Kunsthaus, Zurich, depicting The Annunciation and The Nativity, are thought to have constituted part of the wings of a large Crucifixion altarpiece whose central panel was the Munich Cathedral Crucifixion (MÃ¼nchner Domkreuzigung) now in that city's Frauenkirche. which in turn is considered the work of a collaborator dubbed the Master of the Munich Cathedral Crucifixion.",https://www.wga.hu/art/m/master/marian/panel2.jpg,nativity
_art_d_duccio_maesta_predel_f_pre_f_2a.jpg,"The narrative is enriched with descriptive details, combining facts drawn from Luke and from the apocryphal gospels, such as the two midwives bathing the Child (probably Salome and Zelomi).",https://www.wga.hu/art/d/duccio/maesta/predel_f/pre_f_2a.jpg,nativity
_art_g_giotto_padova_5angels_angel02.jpg,The picture shows the angels above the simple shelter under which the Virgin and her Child seek refuge in the scene Nativity.,https://www.wga.hu/art/g/giotto/padova/5angels/angel02.jpg,nativity
_art_l_leonardo_07study1_42rock.jpg,"Leonardo left hundreds of notebooks filled with drawings in which he explored ideas, compositions, or inventions. His curiosity led him to sketch and puzzle out diverse subjects, such as running water, growing plants, and human anatomy. The series of sketches on this sheet show Leonardo exploring a theme that would later emerge as the Virgin of the Rocks, in which the Virgin kneels over the infant Jesus, raising her right hand in benediction.",https://www.wga.hu/art/l/leonardo/07study1/42rock.jpg,nativity
_art_f_francesc_3paintin_1scenes1.jpg,"Francesco di Giorgio painted two scenes, the Nativity and The Birth of the Virgin, for the decoration of the chapel of family Bichi. Executed with a particular grisaille technique, the frescoes are the culmination of the artist's career as a painter.",https://www.wga.hu/art/f/francesc/3paintin/1scenes1.jpg,nativity
_art_d_duccio_maesta_predel_f_pre_f_1d.jpg,"This part of the front predella preserves its original framing, which contains the Nativity between Prophets Isaiah and Ezekiel.",https://www.wga.hu/art/d/duccio/maesta/predel_f/pre_f_1d.jpg,nativity
_art_g_giovanni_frances_nativit.jpg,"This work belongs to a group of mid-fifteenth-century Florentine paintings which could be attributed to Giovanni di Francesco, formerly known as the Master of the Carrand Triptych. It seems too large to have functioned as a predella, for it would not fit below an individual section of a polyptych. However, it could have served as the lower part of a single-field altarpiece.The composition with two scenes depicting the Nativity and the Adoration of the Magi is rather sophisticated. The placement of the walls at an angle and the use of this background two divide the two scenes; the alternation of figures in frontal and profile view; and the contrast  of fully lit and penumbral areas attest to a strict spatial logic deployed to create a unified stage setting. The imposing wall is rendered with an obsession for architectural detail and measured by the grid formed by the scaffolding holes. Breaches in the wall enliven the scene by providing views onto the landscape, while elsewhere the wall remains intact and serves as backdrop for the figures. Although this type of background was inspired by Fra Angelico's Adoration of the Magi, its figurative weight anticipates Baldovinetti's Nativity in the Santissima Annunziata and the later paintings of the Nativity by Fra Filippo Lippi in Spoleto and Fra Diamante.",https://www.wga.hu/art/g/giovanni/frances/nativit.jpg,nativity
_art_t_traut_wolf_broadshe.jpg,"This highly attractive broadsheet is one of Traut's finest prints. It also exhibits how dependent the artist was on the designs of his contemporaries. The broadsheet contains of fifteen woodblocks plus a long German prayer. The Nativity in the centre is copied in reverse from a woodcut by Hans von Kulmbach, with whom Traut had worked in DÃ¼rer's atelier. Traut added a few minor details to the figures and the setting. The hand of God directs the viewer to the eleven Passion scenes at the top of the broadsheet. Traut loosely based his designs upon DÃ¼rer's Small Passion. Below are groups of ecclesiastics and secular figures who comprise the Christian estate.Broadsheets, in which the images are accompanied by text, depict extraordinary happenings, omens, historical events, portraits, and traditional folktales. Nativity and Passion of Christ demonstrates clearly the practical function of broadsheets in a semi-literate society. The illustrations are placed around a German prayer which tells of Christ's birth and the redemption of mankind through his Passion. The Nativity with an Adoration of the Shepherds is represented in the centre, above which a hand is shown indicating various scenes from the Passion of Christ, which would be pointed out as the prayer was recited. Members of the Christian estate are represented on either side: on the left is a group of ecclesiastics behind a figure of the Pope, and on the right a cluster of secular figures are assembled behind the Holy Roman emperor.",https://www.wga.hu/art/t/traut/wolf/broadshe.jpg,nativity
_art_v_vos_m_nativity.jpg,"Three little angels kneel with Mary and Joseph in worship of the newborn Child. The ox and the ass stand behind them. Other angels in the distance announce the birth of Christ to a group of shepherds. The ruin behind Joseph symbolises the defeat of paganism by the coming of the Saviour. The artist has made the symbolism even plainer by including a relief in the classical ruin - a recumbent female nude, possibly Venus, and several playful little naked figures. These represent the pagan world and 'impure', earthly love, as opposed to the divine love in which Christ was conceived.Marten de Vos spent some time in Italy, where he familiarised himself with the new art of the Renaissance. This is apparent in details like the lively poses, the realistic approach to the anatomy and the references to classical antiquity. The divided upper zone, one half containing an architectural setting and the other a deep landscape, was also typical of 16th-century Venetian art.<!-- Suggested listening (streaming mp3, 22 minutes):Thomas Tallis: Mass (Puer natus est) -->",https://www.wga.hu/art/v/vos_m/nativity.jpg,nativity
_art_s_schongau_martin_graphics_3nativit.jpg,"In Schongauer's art may be found a transition between the final - and possibly finest - expression of the Gothic and medieval dream, and the first tentative reaching toward Humanist ideals, soon to come to fruition in the works of Schongauer's admirer, Albrecht DÃ¼rer.Schongauer, like DÃ¼rer and others, received his first training as a goldsmith. A man of many talents, he explored other fields and also became a painter of note. Fortunately, a number of his paintings have survived, and documents indicate that there were many more. His training as a painter is evident in his engravings, where subtle relationships of tone and ""colour"" are suggested by the skillful gradations from black to white.In this engraving, The Nativity, the Gothic storytelling element remains strong. As used in Classical times and throughout the Middle Ages, the tale is told by means of a convention called ""continuous narrative."" Thus, if we look through the pointed arch at the back we see the angel announcing his message to a shepherd. The Nativity takes place, not in a manger, but in the ruins of a vaulted Gothic edifice; this allows the shepherds to move forward to the next stage, and view the scene through an arched aperture.Schongauer anticipates DÃ¼rer's love for such details as the vines overgrowing the ruin, the accurately observed plants growing between the stones in the foreground, and grasses sprouting from crevices. The Virgin, melancholy and ideally beautiful, gazes adoringly at the Child. Joseph holds a lamp to indicate that this scene takes place at night; he has eyes only for Mary. In the upper right-hand corner three angels flutter over the arch, to herald the miracle with their singing.Schongauer's mastery of the art of perspective and of sophisticated composition is evident in this beautiful engraving. There is superb control, too, in his handling of the burin, using crosshatching in the dark areas, and parallel lines, flicks, and broken lines to suggest the textures of soft robes, weathered stones, and human and animal flesh.<!-- Suggested listening (streaming mp3, 9 minutes):Josquin Desprez: In principio erat verbum, motet -->",https://www.wga.hu/art/s/schongau/martin/graphics/3nativit.jpg,nativity
_art_g_goes_portinar_centre12.jpg,The picture shows the bare empty space in which the newborn Infant Jesus is lying in the central panel of the Portinari Triptych.,https://www.wga.hu/art/g/goes/portinar/centre12.jpg,adoration
_art_m_maratti_thorncro.jpg,In the background the Calvary can be seen.,https://www.wga.hu/art/m/maratti/thorncro.jpg,adoration
_art_g_ghirland_domenico_5sassett_shepherd_shepher1.jpg,"Hugo van der Goes' group of adoring shepherds in the Portinari altarpiece returns in Ghirlandaio's Adoration with very obvious similarities. And yet there is no doubt that there is a difference in the physical culture of the people: Ghirlandaio's shepherds, who at the angel's announcement have just left the fields dressed in old work-clothes with picks and hoes, are more comely. Before arriving at the manger they have been home to put on cleaner clothes; their appearance, faces and expressions are less rough, breathless and astonished. There is more tender adoration in them than wonder, and although they have the posture and gestures of simple folk they are certainly anything but coarse. The first shepherd, kneeling down, is Ghirlandaio himself.In the distance is a town set in the midst of hills and woods that in appearance would seem to be more Northern than Tuscan. Here there is clearly a fresh reminder of Flemish art, especially that of Hugo van der Goes.",https://www.wga.hu/art/g/ghirland/domenico/5sassett/shepherd/shepher1.jpg,adoration
_art_b_bosch_91adorat_15centre.jpg,"The picture shows a detail of the central panel of the Triptych of the Adoration of the Magi.The host of the third King appears beyond the sand dunes. The gently rolling countryside contains, in addition, an abandoned tavern and a pagan idol. Even the distant grey-blue walls of Jerusalem, one of Bosch's most evocative renderings of the Holy City, appear vaguely sinister.",https://www.wga.hu/art/b/bosch/91adorat/15centre.jpg,adoration
_art_m_montanez_shepherd.jpg,"A Baroque element gradually made its appearance in the style of MontañÃ©s, and his most beautiful works are those executed in his youth. They are also more clearly stamped with his individuality, for, as time went on, his success obliged him to make use of assistans. The Santiponce Altarpiece is his masterpiece. He signed the contract for it in 1609 and completed it in 1613. In it, carvings of different saints and various scenes from the Gospel are grouped around a statue of St. Jerome. The Adoration of the Shepherds is one of the most beautiful of his classicizing compositions, with its angels and shepherds fervently gathering around the figure of Jesus in a deep silence inspired by the mystery of the divine Infant.",https://www.wga.hu/art/m/montanez/shepherd.jpg,adoration
